
                          cycles                io+dfe speedup
              --------------------------------- -------------------
app           io+dfe      io+lcl      ooo/4     io+lcl    ooo/4   
------------- ----------- ----------- --------- --------- ---------
adpcm         -           923698      506380    -         -
adpcm-opt     140310      576668      506380    4.10      3.61
bintree       130911      91565       96953     0.70      0.74
covar         116145      117809      92203     1.01      0.79
dither        deadlock    1964606     1133036   -         -
dither-opt    deadlock    1180019     1133036   -         -
knapsack-sm   41638       23274       23622     0.56      0.57
knapsack-lg   27414       14274       17720     0.52      0.65
pbbs-mm       31831       14775       34160     0.46      1.07
rsort         202762      102954      85276     0.51      0.42
rsort-opt     382042      137400      85276     0.36      0.22
sha           33600       54535       21716     1.62      0.65
sha-opt       30548       41361       21716     1.35      0.71
stencil       1218132     1449605     951301    1.19      0.78
symm          171304      177371      135305    1.04      0.79
viterbi       -           1059998     1100253   -         -
